"ModelName_short","Task_short","Dataset","Cancer","tissue","TaskCategory","TaskCategory_short","AUROC","AUROC_lower","AUROC_upper","AUPRC","AUPRC_lower","AUPRC_upper","Balanced_accuracy","Balanced_accuracy_lower","Balanced_accuracy_upper","Sensitivity","Sensitivity_lower","Sensitivity_upper","Specificity","Specificity_lower","Specificity_upper","binary_multi","Public","Slide_vs_patch_classification","Classes","ModelName","ModelCategory","ModelDomain","ModelArch","Parameters_in_million","TrainingData_patches_in_million","Slides_in_million"
"Virchow","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.957191734923918,0.942547198333501,0.970112695025669,0.964198580637845,0.952002738277972,0.975065422187632,0.8872151,0.8613975,0.9114,0.870776309950936,0.832214765100671,0.908178778268064,0.903655517742515,0.869561482145525,0.937298450078097,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Virchow","Path-VM","Pathology","Vit-L",632,2000,1.5
"BEPH","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.669317064761788,0.625840563797116,0.712863990739219,0.623536090898043,0.562296332998687,0.681840233991559,0.6127511,0.572095,0.653105,0.585742570020741,0.529396809571286,0.641033434650456,0.639761491919245,0.578591219096334,0.696248831367778,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","BEPH","Path-VM","Pathology","Vit-B",85,11,0.012
"QuiltNet-B-16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.841883095371861,0.810896832042426,0.872260012799991,0.829078621386627,0.785148009783012,0.872067619632814,0.7676965,0.7326975,0.8005025,0.791633259397476,0.745701431641835,0.835571619012595,0.743760302304044,0.693948362263055,0.789315217391304,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","QuiltNet-B-16","Path-VLM","Natural Images","Vit-B",85,1,NA
"PLIP","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.859949074483902,0.827461491996376,0.889132023794226,0.840591013883492,0.792145883121665,0.884752916578679,0.7954603,0.7596775,0.8264075,0.819281960316803,0.773953184578449,0.864288740920097,0.771639706479346,0.71744338994339,0.820692127054752,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","PLIP","Path-VLM","Pathology","Vit-B",85,0.2,NA
"BiomedCLIP","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.804543943277328,0.767781957910665,0.837534892352581,0.786987957803082,0.734841938661275,0.833760613701686,0.7443405,0.7100975,0.7806025,0.764897007145621,0.714742388758782,0.811852536070902,0.723785622293568,0.672383109292811,0.772563739217472,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","BiomedCLIP","Path-VLM","Pathology","Vit-B",85,15,NA
"mizero bioclinicalbert","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.664478643355627,0.621876241716079,0.707950438598354,0.625473768560238,0.566167278586697,0.683224445227438,0.616202,0.57609,0.65621,0.568101881891745,0.508270420437622,0.623655913978495,0.664301503374292,0.608237315544775,0.718646716101695,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","mizero_bioclinicalbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"mizero pubmedbert","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.652624213239976,0.607953441800149,0.696019558732425,0.608840538176035,0.552512873979637,0.66959087954481,0.6022145,0.5605925,0.6424075,0.552686810323483,0.493072279007076,0.608607272165313,0.651743657912445,0.59866465771071,0.703075525707365,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","mizero_pubmedbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"CONCH","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.865907818030072,0.838423727078343,0.895218852483165,0.848296324872572,0.805379971639568,0.889655216641624,0.7912814,0.7597,0.8235,0.832258662931224,0.787969054902168,0.876325088339223,0.750303361039729,0.703166066190905,0.8,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","CONCH","Path-VLM","Pathology","Vit-B",85,1.2,NA
"Dinov2","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.922664504918794,0.900578877070162,0.9437436829265,0.905671613353828,0.866275522867997,0.939225908825325,0.8583793,0.8282925,0.886815,0.839480929274629,0.796113257784849,0.88235294117647,0.87727530744014,0.837928704566636,0.915900353202263,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","DINOv2","VM","Natural Images","Vit-L",300,142,NA
"beit3-L16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.676031514376814,0.630532237882421,0.716827626481823,0.629545597902844,0.570264720504049,0.692261796341449,0.6123784,0.5738,0.6496025,0.555440541677685,0.498381075971675,0.612679020249443,0.669315471934436,0.612161624203822,0.719301400984476,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","beit3-L16","VLM","Natural Images","Vit-L",746,14,NA
"Blip-B16-14M","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.662440565344714,0.616408002544315,0.705768608526314,0.61922535256124,0.560425911165743,0.680495961972572,0.6000075,0.5601975,0.6373225,0.567166697292451,0.513008454251109,0.623771044725356,0.632847977602201,0.576916666666667,0.687952473058856,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Blip-B16-14M","VLM","Natural Images","Vit-B",85,14,NA
"Align-base","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.539514894649228,0.49647125841508,0.585344863988191,0.522131740682907,0.469880929708629,0.577895100434101,0.5276007,0.489085,0.5652025,0.331524749523995,0.278744216599075,0.381822416713721,0.723677850856585,0.671326276463263,0.772136019356196,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Align-base","VLM","Natural Images","Vit-B",85,1800,NA
"Clip-B16","lusc vs luad","TCGA","LUSC+LUAD","lung","Diagnostic: Histologic Subtyping","Diagnostic",0.805798272098132,0.770357955468877,0.84031410464127,0.792946746745307,0.740619788874734,0.839302082690455,0.7373795,0.6985,0.7723025,0.756530970887258,0.706890804597701,0.80691314136746,0.718228876678524,0.665453005411203,0.772884979928635,"binary","TCGA","Slide","Squamous cell carcinoma vs adenocarcinoma","Clip-B16","VLM","Natural Images","Vit-B",115,400,NA
"cTranspath","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.495859880133063,0.43340829440784,0.556225423378159,0.499417139435904,0.430100590158206,0.573980970710828,0.4881616,0.4419975,0.5372125,0.277258220048814,0.211428571428571,0.347567603393425,0.699062916099758,0.633715603311823,0.767088971361009,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","cTranspath","Path-VM","Pathology","Vit-S",21,15,0.032
"Hibou","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.841279237063538,0.79683167300707,0.880266678089137,0.817612043805772,0.749251765039067,0.878811541775903,0.7663677,0.719,0.8112025,0.784306696352368,0.722527897128373,0.846164772727273,0.748427615123481,0.6832189607961,0.80984082241751,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Hibou","Path-VM","Pathology","Vit-B",85,1200,1
"H-optimus-0","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.868140457024532,0.82692727439702,0.905863593065404,0.857196687004082,0.802113764705806,0.905763114174615,0.7896712,0.7439975,0.8339,0.795044580582465,0.73213825478645,0.853822419420645,0.784297496273331,0.721509858812074,0.84324649951156,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","H-optimus-0","Path-VM","Pathology","Vit-L",1100,NA,0.5
"GPFM","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.622937630062079,0.565023953002305,0.679661395512742,0.624877607001306,0.546216457618264,0.703888744935567,0.5834815,0.5346975,0.63441,0.685833677600549,0.614887422360249,0.752781030444965,0.481129885492744,0.408040358312464,0.551922893633244,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","GPFM","Path-VM","Pathology","Vit-L",307,190,0.086
"UNI2","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.85822122673784,0.818559579179029,0.895945822481746,0.846248291715831,0.787549991965766,0.897056169588259,0.7781767,0.7350975,0.8204425,0.796279140626398,0.732230515614983,0.853819776714513,0.760076489956414,0.7,0.818207498715973,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","UNI2","Path-VM","Pathology","Vit-L",632,200,0.35
"Phikon-v2","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.825890362413154,0.779808256727969,0.86904357515658,0.819517576471634,0.763336794903381,0.869311988649556,0.7446821,0.6978775,0.792605,0.751689509882037,0.683323170731707,0.8154803471668,0.737673624222853,0.670723191170459,0.804475885094708,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Phikon-v2","Path-VM","Pathology","Vit-L",NA,460,0.05
"Virchow2","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.845283596346704,0.801875019301843,0.882936182706958,0.832741473352166,0.769182603047017,0.889534624753882,0.7813875,0.7363,0.823925,0.798585657252097,0.739872131721843,0.856373322809787,0.764190008503414,0.702244202725317,0.821062030075188,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Virchow2","Path-VM","Pathology","Vit-L",632,NA,3.1
"TITAN","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.802779561853094,0.755317931835224,0.849980549180279,0.7831265239451,0.714107985023095,0.846657298972446,0.7330953,0.6829675,0.7795125,0.779093784313105,0.71511546706509,0.838724078341014,0.687093798192241,0.613613373620599,0.754412185354691,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","TITAN","Path-VLM","Pathology","Vit-B",85,NA,0.33
"UNI","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.862741070901525,0.82546134177012,0.8990663777172,0.856514878712834,0.805476734337677,0.900926286416025,0.7763428,0.731295,0.8185075,0.813739100323026,0.757062146892655,0.865044692921697,0.738942618577403,0.67072477827051,0.801169590643275,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","UNI","Path-VM","Pathology","Vit-L",300,100,0.1
"Prov-GigaPath","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.862799312212498,0.825710975687171,0.899799435728049,0.860422602892162,0.814898175233147,0.904100794938083,0.7916603,0.7480975,0.833605,0.81859439131138,0.756906077348066,0.878617095813628,0.764724007799788,0.697297297297297,0.827386083743842,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","","Path-VM","Pathology","Vit-L",307,1300,0.171
"Virchow","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.833875001604112,0.790410171583288,0.875650418488278,0.819980881708482,0.752574115204721,0.877065995770755,0.764407,0.718295,0.808605,0.779364993660937,0.715845556514236,0.840239282293955,0.749447351972226,0.679994382022472,0.811836125467831,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Virchow","Path-VM","Pathology","Vit-L",632,2000,1.5
"BEPH","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.542858125645553,0.484193797158503,0.599189186368903,0.547458879300307,0.474935019380559,0.625977277395552,0.5522208,0.505795,0.5996025,0.415429650662747,0.343182800345722,0.485908300738809,0.689014475538416,0.622203389830508,0.756262668918919,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","BEPH","Path-VM","Pathology","Vit-B",85,11,0.012
"QuiltNet-B-16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.752567681069641,0.699302932864516,0.801544358781736,0.730174063091629,0.652016987010625,0.801670312575813,0.6865148,0.638195,0.7347,0.658775949159242,0.588563025210084,0.727272727272727,0.714256085176915,0.64770256916996,0.775877281947262,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","QuiltNet-B-16","Path-VLM","Natural Images","Vit-B",85,1,NA
"PLIP","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.757556516992096,0.704724266722737,0.806807175418106,0.723027465284959,0.646218227245389,0.795065751694591,0.6984774,0.6502,0.74671,0.716109404053789,0.652161700048852,0.78049808166621,0.680847959536823,0.617142857142857,0.75,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","PLIP","Path-VLM","Pathology","Vit-B",85,0.2,NA
"BiomedCLIP","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.729525316674339,0.676060842622062,0.781055771575364,0.700611014142383,0.624422491587802,0.773674994833734,0.6705205,0.62369,0.7187325,0.658579615365717,0.593194299782217,0.726193609022556,0.682459278066109,0.61322072998707,0.748638268156425,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","BiomedCLIP","Path-VLM","Pathology","Vit-B",85,15,NA
"mizero bioclinicalbert","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.50737170111446,0.443322722073961,0.56706578116895,0.521568507989683,0.449303347704335,0.597057349774449,0.5148773,0.468295,0.5593125,0.299835148827926,0.236660035366932,0.365717770034843,0.729921633609782,0.666666666666667,0.79141186312785,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","mizero_bioclinicalbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"mizero pubmedbert","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.50667382542025,0.447011128775835,0.565012759831045,0.519112533840676,0.444489657778266,0.594832886330895,0.5174095,0.4691975,0.5638025,0.302187063238244,0.235890804597701,0.367237594445579,0.732633486088179,0.664661269001983,0.793112818590705,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","mizero_pubmedbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"CONCH","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.768260516071219,0.715904850654778,0.816494491012461,0.746150665778748,0.674315921815246,0.812324991350451,0.7348015,0.6888925,0.77941,0.681534957278135,0.609424139396515,0.748538847117795,0.788062807960468,0.730136806103657,0.848493657505285,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","CONCH","Path-VLM","Pathology","Vit-B",85,1.2,NA
"Dinov2","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.827943789649241,0.782426175954772,0.866559643674087,0.806970735910028,0.74481969900005,0.862501248021529,0.7602912,0.7150925,0.7998025,0.756056788164843,0.697483896940419,0.81437714458723,0.764524757609073,0.700597201319286,0.823834932878003,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","DINOv2","VM","Natural Images","Vit-L",300,142,NA
"beit3-L16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.580704931812974,0.517530366413537,0.642042278965926,0.557087474477331,0.48111580758611,0.633653508948773,0.551339,0.4931975,0.6059125,0.517764891900228,0.447506091074431,0.594912280701754,0.584911236502805,0.505807548452907,0.659892770667589,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","beit3-L16","VLM","Natural Images","Vit-L",746,14,NA
"Blip-B16-14M","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.536706642027065,0.476371520322965,0.595144142240441,0.54403051533174,0.468862963068466,0.615598103109186,0.5607228,0.5121825,0.61041,0.45043427727342,0.377242942686057,0.52001775147929,0.671010865728218,0.601090826295744,0.737707417033187,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Blip-B16-14M","VLM","Natural Images","Vit-B",85,14,NA
"Align-base","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.508689875308394,0.44458484585758,0.567716989630678,0.518163060652198,0.445914683854923,0.590653427596162,0.5158038,0.465095,0.56682,0.487993724269664,0.412874762808349,0.55562372188139,0.543611928168773,0.469919885153283,0.614908493041485,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Align-base","VLM","Natural Images","Vit-B",85,1800,NA
"Clip-B16","CPTAC-MYC","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.729170469927288,0.676110615657857,0.777068424549453,0.696733170383146,0.618509298261233,0.768043579428208,0.6610047,0.6146925,0.7085175,0.640058745526137,0.574846858008122,0.712014751552795,0.681950559618529,0.61848752034726,0.747256995581738,"binary","CPTAC","Slide","MYC pathway activity vs No MYC pathway activity","Clip-B16","VLM","Natural Images","Vit-B",115,400,NA
"cTranspath","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.58691295418823,0.504129228237653,0.664086278099223,0.580883055894865,0.483715535336007,0.679535834888935,0.5495547,0.484775,0.6164075,0.686661733153918,0.594332617223986,0.771739130434783,0.412447329684893,0.322516129032258,0.509813925570228,"binary","CPTAC","Slide","chromatin modification pathway activation","cTranspath","Path-VM","Pathology","Vit-S",21,15,0.032
"Hibou","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.798761224681166,0.738839172979798,0.85419468850913,0.797088862648296,0.714243539370705,0.864014524690638,0.708022,0.6451875,0.7682175,0.741084650876874,0.642105263157895,0.82418998527246,0.674956565138616,0.583313106796117,0.768423489278752,"binary","CPTAC","Slide","chromatin modification pathway activation","Hibou","Path-VM","Pathology","Vit-B",85,1200,1
"H-optimus-0","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.82309058111973,0.764501372648881,0.877470392998257,0.788038673699826,0.69419311142161,0.873495839202184,0.739165,0.6797925,0.8017025,0.783406300157336,0.7,0.861719207495608,0.694922022462704,0.604639050387597,0.780952380952381,"binary","CPTAC","Slide","chromatin modification pathway activation","H-optimus-0","Path-VM","Pathology","Vit-L",1100,NA,0.5
"GPFM","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.665480810216049,0.58566876768324,0.741664393721014,0.648937897434703,0.545000014256204,0.746639223565157,0.6373197,0.5658825,0.7092,0.64954114158197,0.554318917668825,0.752295762341634,0.625099679628804,0.529411764705882,0.717203589290968,"binary","CPTAC","Slide","chromatin modification pathway activation","GPFM","Path-VM","Pathology","Vit-L",307,190,0.086
"UNI2","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.82488638775996,0.764767805049631,0.88242751434403,0.778455326111568,0.683094657195701,0.874545288445051,0.7500209,0.69059,0.81062,0.795066214538745,0.714250353606789,0.877563464410154,0.704977065093853,0.611650485436893,0.798030303030303,"binary","CPTAC","Slide","chromatin modification pathway activation","UNI2","Path-VM","Pathology","Vit-L",632,200,0.35
"Phikon-v2","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.770948113794672,0.703414382557423,0.833372641509434,0.755961696184795,0.656110529542815,0.841377921076604,0.6977916,0.6279775,0.761905,0.689701335920654,0.592223102833366,0.781837944664032,0.705879493459619,0.615364583333333,0.794412228352663,"binary","CPTAC","Slide","chromatin modification pathway activation","Phikon-v2","Path-VM","Pathology","Vit-L",NA,460,0.05
"Virchow2","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.80915579949492,0.743843630136955,0.864614862263806,0.773088220993575,0.675293838646664,0.856671065748889,0.7506077,0.6904675,0.808405,0.835272783228043,0.762886597938144,0.905891544117647,0.66594602202733,0.579973684210526,0.757894736842105,"binary","CPTAC","Slide","chromatin modification pathway activation","Virchow2","Path-VM","Pathology","Vit-L",632,NA,3.1
"TITAN","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.723428156802531,0.653585965106153,0.7916354435512,0.711077831765391,0.608521222520731,0.80926332053239,0.668455,0.6062775,0.7351075,0.629856517280528,0.531914893617021,0.724537928378899,0.707046817759153,0.616276133427296,0.795460654936461,"binary","CPTAC","Slide","chromatin modification pathway activation","TITAN","Path-VLM","Pathology","Vit-B",85,NA,0.33
"UNI","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.835665430773126,0.781030824161426,0.8850634397818,0.823049789819373,0.733848135473071,0.892196873856397,0.7353392,0.677495,0.7951125,0.792768555666139,0.707521534044299,0.869169036976839,0.67791343807754,0.582397959183674,0.775725886943109,"binary","CPTAC","Slide","chromatin modification pathway activation","UNI","Path-VM","Pathology","Vit-L",300,100,0.1
"Prov-GigaPath","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.80538695220416,0.745052854909551,0.86692439862543,0.785737840201596,0.693784789610496,0.86334954029247,0.7251702,0.6628875,0.7856025,0.783343229630418,0.694721362229102,0.861125886524823,0.666999727187797,0.579530502392345,0.754906962785114,"binary","CPTAC","Slide","chromatin modification pathway activation","","Path-VM","Pathology","Vit-L",307,1300,0.171
"Virchow","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.823569871121265,0.768406659286861,0.876712591452345,0.801814513082931,0.718635533038687,0.875738548745531,0.7499846,0.6897,0.8066025,0.762867033443948,0.674145476049675,0.844697535474234,0.737103141576352,0.652131701139721,0.821437411598303,"binary","CPTAC","Slide","chromatin modification pathway activation","Virchow","Path-VM","Pathology","Vit-L",632,2000,1.5
"BEPH","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.626883859338026,0.545978856931746,0.703924159704832,0.630664164053612,0.524821956839391,0.729263694830817,0.5896521,0.521295,0.65833,0.601795542053214,0.504924242424242,0.696993371212121,0.577512478636567,0.480769230769231,0.673081683168317,"binary","CPTAC","Slide","chromatin modification pathway activation","BEPH","Path-VM","Pathology","Vit-B",85,11,0.012
"QuiltNet-B-16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.691125235519334,0.620536830910216,0.761048294514038,0.719561071511035,0.632094208241389,0.79867291264754,0.6273369,0.5551,0.691125,0.547534115966701,0.452606112054329,0.645457422324511,0.707141304360166,0.609515599343186,0.796160400743648,"binary","CPTAC","Slide","chromatin modification pathway activation","QuiltNet-B-16","Path-VLM","Natural Images","Vit-B",85,1,NA
"PLIP","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.732593668403613,0.659833555415293,0.797770438762626,0.752958291972087,0.666805418357364,0.825605027687945,0.6479553,0.5797725,0.7135125,0.61909475107975,0.523343436894839,0.717391304347826,0.676816412331908,0.576856435643564,0.768421052631579,"binary","CPTAC","Slide","chromatin modification pathway activation","PLIP","Path-VLM","Pathology","Vit-B",85,0.2,NA
"BiomedCLIP","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.666044514273226,0.593058285943066,0.741779444027868,0.665767326053287,0.568061500814306,0.756479258146513,0.663488,0.6005,0.7298025,0.658583189743471,0.563811712456104,0.758276098901099,0.668397350921581,0.577319587628866,0.752531290864935,"binary","CPTAC","Slide","chromatin modification pathway activation","BiomedCLIP","Path-VLM","Pathology","Vit-B",85,15,NA
"mizero bioclinicalbert","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.617202193704602,0.53439462257544,0.69725087084494,0.617276257297734,0.506600720566258,0.72348642561819,0.5603399,0.4889425,0.6326025,0.5435979455134,0.44,0.644230769230769,0.577087107561429,0.475690621559404,0.673925682507583,"binary","CPTAC","Slide","chromatin modification pathway activation","mizero_bioclinicalbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"mizero pubmedbert","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.601951336204783,0.51740210241216,0.686048434983897,0.592754382112333,0.492090313759904,0.696017187733733,0.5702132,0.494965,0.6434125,0.514072910625337,0.413419117647059,0.615420560747664,0.626357687748619,0.532105211789967,0.721663802978236,"binary","CPTAC","Slide","chromatin modification pathway activation","mizero_pubmedbert","Path-VLM","Pathology","Vit-S",21,0.03,NA
"CONCH","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.698953423134236,0.630400510204082,0.764117244219883,0.710436105768427,0.619008524783989,0.795350595632299,0.6138201,0.5495575,0.67683,0.603959748921234,0.510858242753623,0.701923076923077,0.623682903314438,0.5221875,0.714323308270677,"binary","CPTAC","Slide","chromatin modification pathway activation","CONCH","Path-VLM","Pathology","Vit-B",85,1.2,NA
"Dinov2","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.725474781647308,0.653576301012338,0.790909952091248,0.7267389592119,0.628346989497017,0.806776190747843,0.6477521,0.5799775,0.71662,0.63909143392702,0.53763440860215,0.733333333333333,0.656412306468841,0.561202498240675,0.74528730703259,"binary","CPTAC","Slide","chromatin modification pathway activation","DINOv2","VM","Natural Images","Vit-L",300,142,NA
"beit3-L16","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.632117609421625,0.551340505308755,0.705405521681543,0.638219408566875,0.536680488501633,0.731101560282625,0.5876095,0.521295,0.651835,0.669438118539597,0.576086956521739,0.762900454495067,0.505782342158602,0.404245090016367,0.595744680851064,"binary","CPTAC","Slide","chromatin modification pathway activation","beit3-L16","VLM","Natural Images","Vit-L",746,14,NA
"Blip-B16-14M","Chrom","CPTAC","Pan-cancer","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction",0.632961861888363,0.549591787265476,0.711152061583887,0.616610961386357,0.514695776068697,0.717372833160272,0.5965355,0.52408,0.665425,0.680236541843852,0.580629032258065,0.772333042127742,0.512838755586051,0.404255319148936,0.609535714285714,"binary","CPTAC","Slide","chromatin modification pathway activation","Blip-B16-14M","VLM","Natural Images","Vit-B",85,14,NA
