Task_short,Dataset,ModelName,ModelName_short,ModelCategory,ModelDomain,ModelArch,balanced_accuracy,F1_score,Precision,Recall,Cancer,Slide_vs_patch_classification,binary_multi,tissue,average_performance
IDH,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.9,0.9,0.94,0.9,GBM+LGG,Slide,binary,brain,0.91
IDH,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.85,0.85,0.9,0.85,GBM+LGG,Slide,binary,brain,0.86
IDH,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.89,0.89,0.91,0.89,GBM+LGG,Slide,binary,brain,0.9
PRstatus,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.73,0.72,0.79,0.73,BRCA,Slide,binary,breast,0.74
PRstatus,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.65,0.63,0.68,0.65,BRCA,Slide,binary,breast,0.65
PRstatus,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.64,0.64,0.73,0.64,BRCA,Slide,binary,breast,0.66
PRstatus,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.68,0.68,0.75,0.68,BRCA,Slide,binary,breast,0.7
PRstatus,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.65,0.64,0.73,0.65,BRCA,Slide,binary,breast,0.67
PRstatus,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.7,0.69,0.75,0.7,BRCA,Slide,binary,breast,0.71
PRstatus,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.67,0.67,0.73,0.67,BRCA,Slide,binary,breast,0.68
PRstatus,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.66,0.65,0.71,0.66,BRCA,Slide,binary,breast,0.67
SICAPv2,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.73,0.65,0.6,0.73,PRAD,Patch,multi-class,prostate,0.68
SICAPv2,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.73,0.67,0.63,0.73,PRAD,Patch,multi-class,prostate,0.69
SICAPv2,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.63,0.54,0.5,0.63,PRAD,Patch,multi-class,prostate,0.57
SICAPv2,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.7,0.61,0.57,0.7,PRAD,Patch,multi-class,prostate,0.64
SICAPv2,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.75,0.68,0.64,0.75,PRAD,Patch,multi-class,prostate,0.7
SICAPv2,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.76,0.68,0.63,0.76,PRAD,Patch,multi-class,prostate,0.71
SICAPv2,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.71,0.63,0.58,0.71,PRAD,Patch,multi-class,prostate,0.66
SICAPv2,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.7,0.63,0.59,0.7,PRAD,Patch,multi-class,prostate,0.66
BRACS,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.62,0.52,0.48,0.62,BRCA,Patch,multi-class,breast,0.56
BRACS,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.63,0.55,0.52,0.63,BRCA,Patch,multi-class,breast,0.58
BRACS,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.52,0.43,0.39,0.52,BRCA,Patch,multi-class,breast,0.46
BRACS,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.66,0.57,0.51,0.66,BRCA,Patch,multi-class,breast,0.6
BRACS,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.65,0.56,0.52,0.65,BRCA,Patch,multi-class,breast,0.6
BRACS,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.63,0.53,0.48,0.63,BRCA,Patch,multi-class,breast,0.57
BRACS,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.62,0.51,0.47,0.62,BRCA,Patch,multi-class,breast,0.55
BRACS,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.64,0.56,0.52,0.64,BRCA,Patch,multi-class,breast,0.59
brain_transcriptome_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.49,0.54,0.69,0.49,GBM+LGG,Slide,multi-class,brain,0.55
brain_transcriptome_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.55,0.57,0.65,0.55,GBM+LGG,Slide,multi-class,brain,0.58
brain_transcriptome_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.4,0.45,0.6,0.4,GBM+LGG,Slide,multi-class,brain,0.46
brain_transcriptome_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.51,0.54,0.65,0.51,GBM+LGG,Slide,multi-class,brain,0.55
brain_transcriptome_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.47,0.5,0.61,0.47,GBM+LGG,Slide,multi-class,brain,0.51
brain_transcriptome_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.57,0.58,0.62,0.57,GBM+LGG,Slide,multi-class,brain,0.58
brain_transcriptome_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.5,0.53,0.64,0.5,GBM+LGG,Slide,multi-class,brain,0.54
brain_transcriptome_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.51,0.52,0.6,0.51,GBM+LGG,Slide,multi-class,brain,0.53
LC25000,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.99,0.99,0.99,0.99,Pan-cancer,Patch,multi-class,pan-cancer,0.99
LC25000,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,1.0,1.0,0.99,1.0,Pan-cancer,Patch,multi-class,pan-cancer,1.0
LC25000,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.98,0.97,0.96,0.98,Pan-cancer,Patch,multi-class,pan-cancer,0.97
LC25000,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.99,0.99,0.99,0.99,Pan-cancer,Patch,multi-class,pan-cancer,0.99
LC25000,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,1.0,1.0,0.99,1.0,Pan-cancer,Patch,multi-class,pan-cancer,1.0
LC25000,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,1.0,1.0,0.99,1.0,Pan-cancer,Patch,multi-class,pan-cancer,1.0
LC25000,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,1.0,0.99,0.99,1.0,Pan-cancer,Patch,multi-class,pan-cancer,1.0
LC25000,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,1.0,1.0,1.0,1.0,Pan-cancer,Patch,multi-class,pan-cancer,1.0
lusc_vs_luad,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.86,0.86,0.9,0.86,LUSC+LUAD,Slide,binary,lung,0.87
lusc_vs_luad,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.87,0.86,0.9,0.87,LUSC+LUAD,Slide,binary,lung,0.88
lusc_vs_luad,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.79,0.79,0.85,0.79,LUSC+LUAD,Slide,binary,lung,0.8
lusc_vs_luad,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.88,0.88,0.91,0.88,LUSC+LUAD,Slide,binary,lung,0.89
lusc_vs_luad,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.88,0.88,0.92,0.88,LUSC+LUAD,Slide,binary,lung,0.89
lusc_vs_luad,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.89,0.89,0.92,0.89,LUSC+LUAD,Slide,binary,lung,0.9
lusc_vs_luad,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.86,0.86,0.9,0.86,LUSC+LUAD,Slide,binary,lung,0.87
lusc_vs_luad,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.89,0.89,0.92,0.89,LUSC+LUAD,Slide,binary,lung,0.9
BreakHis,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.89,0.86,0.84,0.89,BRCA,Patch,multi-class,breast,0.87
BreakHis,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.9,0.86,0.84,0.9,BRCA,Patch,multi-class,breast,0.88
BreakHis,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.87,0.84,0.82,0.87,BRCA,Patch,multi-class,breast,0.85
BreakHis,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.89,0.86,0.83,0.89,BRCA,Patch,multi-class,breast,0.87
BreakHis,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.89,0.85,0.83,0.89,BRCA,Patch,multi-class,breast,0.86
BreakHis,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.89,0.86,0.83,0.89,BRCA,Patch,multi-class,breast,0.87
BreakHis,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.9,0.87,0.85,0.9,BRCA,Patch,multi-class,breast,0.88
BreakHis,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.91,0.88,0.86,0.91,BRCA,Patch,multi-class,breast,0.89
tumor_label,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.87,0.86,0.89,0.87,Pan-cancer,Slide,multi-class,pan-cancer,0.87
tumor_label,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.85,0.84,0.85,0.85,Pan-cancer,Slide,multi-class,pan-cancer,0.85
tumor_label,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.82,0.81,0.82,0.82,Pan-cancer,Slide,multi-class,pan-cancer,0.82
tumor_label,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.84,0.82,0.82,0.84,Pan-cancer,Slide,multi-class,pan-cancer,0.83
tumor_label,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.9,0.89,0.9,0.9,Pan-cancer,Slide,multi-class,pan-cancer,0.9
tumor_label,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.9,0.88,0.89,0.9,Pan-cancer,Slide,multi-class,pan-cancer,0.89
tumor_label,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.87,0.85,0.86,0.87,Pan-cancer,Slide,multi-class,pan-cancer,0.86
tumor_label,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.91,0.9,0.91,0.91,Pan-cancer,Slide,multi-class,pan-cancer,0.91
PAM50status,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.51,0.52,0.58,0.51,BRCA,Slide,binary,breast,0.53
PAM50status,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.42,0.42,0.53,0.42,BRCA,Slide,binary,breast,0.45
PAM50status,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.41,0.42,0.45,0.41,BRCA,Slide,binary,breast,0.42
PAM50status,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.4,0.41,0.51,0.4,BRCA,Slide,binary,breast,0.43
PAM50status,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.5,0.5,0.56,0.5,BRCA,Slide,binary,breast,0.52
PAM50status,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.42,0.44,0.49,0.42,BRCA,Slide,binary,breast,0.44
PAM50status,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.44,0.45,0.55,0.44,BRCA,Slide,binary,breast,0.47
PAM50status,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.56,0.56,0.63,0.56,BRCA,Slide,binary,breast,0.58
NCT-CRC-HE,External_benchmarking_cohort,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.95,0.93,0.91,0.95,COAD,Patch,multi-class,colon,0.94
NCT-CRC-HE,External_benchmarking_cohort,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.96,0.94,0.92,0.96,COAD,Patch,multi-class,colon,0.94
NCT-CRC-HE,External_benchmarking_cohort,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.93,0.9,0.88,0.93,COAD,Patch,multi-class,colon,0.91
NCT-CRC-HE,External_benchmarking_cohort,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.94,0.92,0.9,0.94,COAD,Patch,multi-class,colon,0.92
NCT-CRC-HE,External_benchmarking_cohort,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.95,0.93,0.91,0.95,COAD,Patch,multi-class,colon,0.94
NCT-CRC-HE,External_benchmarking_cohort,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.95,0.92,0.9,0.95,COAD,Patch,multi-class,colon,0.93
NCT-CRC-HE,External_benchmarking_cohort,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.94,0.92,0.9,0.94,COAD,Patch,multi-class,colon,0.92
NCT-CRC-HE,External_benchmarking_cohort,Phikon,Phikon,pathology,Pathology,Vit-B,0.93,0.89,0.87,0.93,COAD,Patch,multi-class,colon,0.9
gi_subtype,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.52,0.54,0.66,0.52,GI,Slide,multi-class,GI,0.56
gi_subtype,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.45,0.46,0.58,0.45,GI,Slide,multi-class,GI,0.48
gi_subtype,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.41,0.42,0.49,0.41,GI,Slide,multi-class,GI,0.43
gi_subtype,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.51,0.53,0.63,0.51,GI,Slide,multi-class,GI,0.54
gi_subtype,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.48,0.49,0.58,0.48,GI,Slide,multi-class,GI,0.51
gi_subtype,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.54,0.57,0.67,0.54,GI,Slide,multi-class,GI,0.58
gi_subtype,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.52,0.54,0.65,0.52,GI,Slide,multi-class,GI,0.56
gi_subtype,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.48,0.5,0.59,0.48,GI,Slide,multi-class,GI,0.51
PI3K,TCGA,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.65,0.65,0.73,0.65,Pan-cancer,Slide,binary,pan-cancer,0.67
PI3K,TCGA,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.64,0.63,0.71,0.64,Pan-cancer,Slide,binary,pan-cancer,0.66
PI3K,TCGA,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.61,0.61,0.7,0.61,Pan-cancer,Slide,binary,pan-cancer,0.63
PI3K,TCGA,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.64,0.64,0.72,0.64,Pan-cancer,Slide,binary,pan-cancer,0.66
PI3K,TCGA,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.64,0.64,0.73,0.64,Pan-cancer,Slide,binary,pan-cancer,0.66
PI3K,TCGA,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.64,0.64,0.73,0.64,Pan-cancer,Slide,binary,pan-cancer,0.66
PI3K,TCGA,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.65,0.65,0.73,0.65,Pan-cancer,Slide,binary,pan-cancer,0.67
PI3K,TCGA,Phikon,Phikon,pathology,Pathology,Vit-B,0.65,0.65,0.73,0.65,Pan-cancer,Slide,binary,pan-cancer,0.67
MGMT OOD,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.53,0.52,0.58,0.53,Brain,Slide,binary,brain,0.54
MGMT OOD,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.56,0.6,0.73,0.56,Brain,Slide,binary,brain,0.61
MGMT OOD,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.5,0.52,0.58,0.5,Brain,Slide,binary,brain,0.52
MGMT OOD,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.56,0.56,0.62,0.56,Brain,Slide,binary,brain,0.58
MGMT OOD,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.47,0.5,0.62,0.47,Brain,Slide,binary,brain,0.51
MGMT OOD,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.47,0.44,0.47,0.47,Brain,Slide,binary,brain,0.46
MGMT OOD,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.5,0.5,0.56,0.5,Brain,Slide,binary,brain,0.52
MGMT OOD,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.56,0.6,0.73,0.56,Brain,Slide,binary,brain,0.61
brain necrosis,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.53,0.55,0.63,0.53,Brain,Slide,binary,brain,0.56
brain necrosis,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.59,0.59,0.63,0.59,Brain,Slide,binary,brain,0.6
brain necrosis,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.62,0.67,0.79,0.62,Brain,Slide,binary,brain,0.68
brain necrosis,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.56,0.59,0.69,0.56,Brain,Slide,binary,brain,0.6
brain necrosis,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.5,0.51,0.59,0.5,Brain,Slide,binary,brain,0.52
brain necrosis,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.53,0.53,0.57,0.53,Brain,Slide,binary,brain,0.54
brain necrosis,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.56,0.57,0.63,0.56,Brain,Slide,binary,brain,0.58
brain necrosis,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.65,0.65,0.71,0.65,Brain,Slide,binary,brain,0.66
lung stage OOD,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.33,0.39,0.5,0.33,Lung,Slide,multi-class,lung,0.39
lung stage OOD,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.39,0.43,0.5,0.39,Lung,Slide,multi-class,lung,0.43
lung stage OOD,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.22,0.24,0.28,0.22,Lung,Slide,multi-class,lung,0.24
lung stage OOD,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.33,0.35,0.42,0.33,Lung,Slide,multi-class,lung,0.36
lung stage OOD,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.39,0.39,0.42,0.39,Lung,Slide,multi-class,lung,0.4
lung stage OOD,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.39,0.43,0.5,0.39,Lung,Slide,multi-class,lung,0.43
lung stage OOD,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.33,0.35,0.42,0.33,Lung,Slide,multi-class,lung,0.36
lung stage OOD,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.28,0.31,0.39,0.28,Lung,Slide,multi-class,lung,0.32
lung hist OOD1,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.65,0.63,0.62,0.65,Lung,Slide,binary,lung,0.64
lung hist OOD1,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.6,0.6,0.6,0.6,Lung,Slide,binary,lung,0.6
lung hist OOD1,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.65,0.63,0.65,0.65,Lung,Slide,binary,lung,0.64
lung hist OOD1,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.7,0.7,0.72,0.7,Lung,Slide,binary,lung,0.7
lung hist OOD1,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.6,0.57,0.55,0.6,Lung,Slide,binary,lung,0.58
lung hist OOD1,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.7,0.67,0.65,0.7,Lung,Slide,binary,lung,0.68
lung hist OOD1,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.7,0.7,0.72,0.7,Lung,Slide,binary,lung,0.7
lung hist OOD1,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.65,0.63,0.62,0.65,Lung,Slide,binary,lung,0.64
lung stage,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.38,0.39,0.43,0.38,Lung,Slide,multi-class,lung,0.4
lung stage,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.46,0.47,0.52,0.46,Lung,Slide,multi-class,lung,0.48
lung stage,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.46,0.47,0.54,0.46,Lung,Slide,multi-class,lung,0.48
lung stage,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.48,0.5,0.55,0.48,Lung,Slide,multi-class,lung,0.5
lung stage,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.52,0.53,0.56,0.52,Lung,Slide,multi-class,lung,0.53
lung stage,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.46,0.48,0.53,0.46,Lung,Slide,multi-class,lung,0.48
lung stage,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.5,0.51,0.53,0.5,Lung,Slide,multi-class,lung,0.51
lung stage,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.5,0.5,0.52,0.5,Lung,Slide,multi-class,lung,0.5
lung grade,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.45,0.44,0.46,0.45,Lung,Slide,multi-class,lung,0.45
lung grade,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.43,0.41,0.44,0.43,Lung,Slide,multi-class,lung,0.43
lung grade,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.39,0.36,0.36,0.39,Lung,Slide,multi-class,lung,0.38
lung grade,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.4,0.39,0.4,0.4,Lung,Slide,multi-class,lung,0.4
lung grade,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.54,0.54,0.56,0.54,Lung,Slide,multi-class,lung,0.55
lung grade,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.52,0.51,0.54,0.52,Lung,Slide,multi-class,lung,0.52
lung grade,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.46,0.44,0.46,0.46,Lung,Slide,multi-class,lung,0.46
lung grade,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.46,0.46,0.5,0.46,Lung,Slide,multi-class,lung,0.47
lung hist OOD2,Out of Domain,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.75,0.74,0.82,0.75,Lung,Slide,multi-class,lung,0.76
lung hist OOD2,Out of Domain,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.75,0.76,0.86,0.75,Lung,Slide,multi-class,lung,0.78
lung hist OOD2,Out of Domain,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.73,0.73,0.8,0.73,Lung,Slide,multi-class,lung,0.75
lung hist OOD2,Out of Domain,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.69,0.69,0.8,0.69,Lung,Slide,multi-class,lung,0.72
lung hist OOD2,Out of Domain,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.71,0.73,0.86,0.71,Lung,Slide,multi-class,lung,0.75
lung hist OOD2,Out of Domain,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.73,0.72,0.79,0.73,Lung,Slide,multi-class,lung,0.74
lung hist OOD2,Out of Domain,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.72,0.71,0.73,0.72,Lung,Slide,multi-class,lung,0.72
lung hist OOD2,Out of Domain,Phikon,Phikon,pathology,Pathology,Vit-B,0.65,0.64,0.71,0.65,Lung,Slide,multi-class,lung,0.66
CPTAC-MYC,CPTAC,iBot-B16,iBot-B16,vision,Natural Images,Vit-B,0.74,0.74,0.8,0.74,Pan-cancer,Slide,binary,pan-cancer,0.76
CPTAC-MYC,CPTAC,Kaiko,Kaiko,pathology,Pathology,Vit-B,0.77,0.77,0.82,0.77,Pan-cancer,Slide,binary,pan-cancer,0.78
CPTAC-MYC,CPTAC,Hipt_Vit-S16,HIPT,pathology,Pathology,Vit-S,0.71,0.72,0.78,0.71,Pan-cancer,Slide,binary,pan-cancer,0.73
CPTAC-MYC,CPTAC,Dino-Vit-S16,Dino-S16,vision,Natural Images,Vit-S,0.76,0.76,0.82,0.76,Pan-cancer,Slide,binary,pan-cancer,0.77
CPTAC-MYC,CPTAC,lunit_dino_Vit-S16,Lunit,pathology,Pathology,Vit-S,0.74,0.74,0.81,0.74,Pan-cancer,Slide,binary,pan-cancer,0.76
CPTAC-MYC,CPTAC,iBot-L16,iBot-L16,vision,Natural Images,Vit-L,0.75,0.76,0.83,0.75,Pan-cancer,Slide,binary,pan-cancer,0.77
CPTAC-MYC,CPTAC,Dino-Vit-B16,Dino-B16,vision,Natural Images,Vit-B,0.74,0.75,0.81,0.74,Pan-cancer,Slide,binary,pan-cancer,0.76
CPTAC-MYC,CPTAC,Phikon,Phikon,pathology,Pathology,Vit-B,0.79,0.79,0.85,0.79,Pan-cancer,Slide,binary,pan-cancer,0.8
MHIST,External_benchmarking_cohort,Clip-B16,Clip-B16,vision_language,Natural Images,Vit-B,0.63,0.63,0.64,0.63,COAD,Patch,binary,colon,0.63
MHIST,External_benchmarking_cohort,Phikon-v2,Phikon-v2,pathology,Pathology,Vit-L,0.63,0.63,0.64,0.63,COAD,Patch,binary,colon,0.63
MHIST,External_benchmarking_cohort,Blip-B16-14M,Blip-B16-14M,vision_language,Natural Images,Vit-B,0.63,0.63,0.64,0.63,COAD,Patch,binary,colon,0.63
MHIST,External_benchmarking_cohort,H-optimus-0,H-optimus-0,pathology,Pathology,Vit-L,0.8,0.72,0.67,0.8,COAD,Patch,binary,colon,0.75
MHIST,External_benchmarking_cohort,GPFM,GPFM,pathology,Pathology,Vit-L,0.63,0.63,0.64,0.63,COAD,Patch,binary,colon,0.63
